# All cpu usage
# elapsed_time	%usr	%nice	%sys	%iowait	%hardirq	%softirq	%steal	%guest	%idle
0.000000	100.000000	0.000000	0.666667	0.000000	0.000000	0.000000	0.000000	0.000000	99.333333
3.001173	100.500835	0.000000	0.333890	0.000000	0.000000	0.000000	0.000000	0.000000	99.165275
6.001157	100.653595	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	99.346405



# core: 0
# elapsed_time	%usr	%nice	%sys	%iowait	%hardirq	%softirq	%steal	%guest	%idle
0.000000	0.334448	0.000000	0.334448	0.000000	0.000000	0.000000	0.000000	0.000000	99.331104
3.001173	0.333333	0.000000	0.333333	0.000000	0.000000	0.000000	0.000000	0.000000	99.333333
6.001157	0.649351	0.000000	0.649351	0.000000	0.000000	0.000000	0.000000	0.000000	98.701299



# core: 1
# elapsed_time	%usr	%nice	%sys	%iowait	%hardirq	%softirq	%steal	%guest	%idle
0.000000	99.666667	0.000000	0.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3.001173	100.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6.001157	100.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
